week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
w03-jan-scarcity,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.75,0.0,0.0
w03-jan-scarcity,B2,221.92439967325765,337.47034616999207,1219.8692438440482,0.7721880732115849,11.780114329283965,-0.28300459171888753,57,8.999667331518651,21.42142857142857,0.0,0.6071428571428571
w03-jan-scarcity,B3,113.64956415512731,166.76304347203086,540.7601610104609,0.9322475148458219,2.2339319842220218,-0.23372513622445318,15,4.941016626879502,20.87857142857143,0.0,0.25
w03-jan-scarcity,B4,82.60440272009373,119.24623159439408,335.89088393678867,0.9313216379619056,1.021521320154248,0.05244416099050377,5,1.8160251649186137,20.785714285714285,0.0,0.5285714285714286
w03-jan-scarcity,B5,76.46434473526854,126.40059310466236,764.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w03-jan-scarcity,B6,166.23971428571429,255.50238567060592,871.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,21.75,0.0,0.0
w07-feb,B2,5.239298861126442,12.272743351986714,271.0820541875663,0.821868206465677,0.07873353520983929,-0.25832745079134817,14,9.81835602190209,21.62857142857143,0.0,0.05714285714285714
w07-feb,B3,2.336103666533627,5.055738761473584,53.314423970888335,0.964165530546982,0.006254957674200224,-0.05868027711004099,1,2.394795316973557,21.678571428571427,0.0,0.014285714285714285
w07-feb,B4,2.1058184537366507,3.922978700151839,32.18125811052103,0.9710946235564585,0.002877653876365126,-0.07017006356051698,0,0.0,21.67142857142857,0.0,0.02857142857142857
w07-feb,B5,-5.782816971080671,1.2370832357802943,1021.4285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w07-feb,B6,0.8035714285714287,2.4725679632703224,71.42857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
